event_type,qc_level,intensity,city,region_country,datetime_utc,reporter,description,query_year,query_month,queried_event
Lightning,QC1,EF0,Rota,"Andalucía, Spain",25/04/2013 04:16 UTC,Public Report,Severe weather phenomenon confirmed by eyewitnesses.,2013,04,Lightning
Avalanche,QC1,F-Scale: IF0,Rota,"Andalucía, Spain",27/03/2002 19:22 UTC,Public Report,Weak event reported with minor impacts.,2002,03,Avalanche
Hail,QC2,EF0,Vienna,Austria,30/08/2021 07:47 UTC,Local Weather Service,Damage to vegetation and light structures.,2021,08,Hail
Gustnado,QC0+,F-Scale: IF1,Zurich,Switzerland,17/02/2017 23:42 UTC,Meteorological Office,Damage to vegetation and light structures.,2017,02,Gustnado
Tornado,QC2,N/A,Tel Aviv,"Tel Aviv District, Israel",25/06/2001 07:32 UTC,Public Report,Event observed via satellite imagery.,2001,06,Tornado
Avalanche,QC0,F-Scale: IF0,Rome,"Lazio, Italy",16/10/2003 09:09 UTC,University Research Group,Damage to vegetation and light structures.,2003,10,Avalanche
Gustnado,QC0,N/A,Paris,"Île-de-France, France",04/11/2010 03:42 UTC,Storm Chaser Network,Event observed via satellite imagery.,2010,11,Gustnado
Gustnado,QC1,EF0,Zurich,Switzerland,09/12/2013 02:14 UTC,Meteorological Office,Severe weather phenomenon confirmed by eyewitnesses.,2013,12,Gustnado
Tornado,QC0,EF1,Rota,"Andalucía, Spain",07/07/2000 21:38 UTC,Meteorological Office,Event observed via satellite imagery.,2000,07,Tornado
Tornado,QC1,EF0,Nagpur,"Maharashtra, India",02/10/2009 11:15 UTC,Meteorological Office,Event observed via satellite imagery.,2009,10,Tornado
Gustnado,QC0+,N/A,Rome,"Lazio, Italy",01/03/2024 21:45 UTC,University Research Group,Damage to vegetation and light structures.,2024,03,Gustnado
Tornado,QC2,N/A,Zurich,Switzerland,20/08/2018 23:40 UTC,Storm Chaser Network,Weak event reported with minor impacts.,2018,08,Tornado
Snow,QC0+,EF0,Nagpur,"Maharashtra, India",21/11/2000 05:45 UTC,Local Weather Service,Strong winds caused structural damage.,2000,11,Snow
Ice,QC1,F-Scale: IF0,Paris,"Île-de-France, France",07/08/2010 13:44 UTC,ESWD Management,Strong winds caused structural damage.,2010,08,Ice
Devil,QC0,EF2,Tel Aviv,"Tel Aviv District, Israel",30/03/2025 00:32 UTC,University Research Group,Weak event reported with minor impacts.,2025,03,Devil
Hail,QC0,N/A,Munich,"Bavaria, Germany",01/05/2020 13:52 UTC,University Research Group,Damage to vegetation and light structures.,2020,05,Hail
Ice,QC2,F-Scale: IF1,Tel Aviv,"Tel Aviv District, Israel",04/04/2020 17:10 UTC,University Research Group,Strong winds caused structural damage.,2020,04,Ice
Snow,QC0,EF2,Vienna,Austria,27/08/2011 22:28 UTC,Meteorological Office,Event observed via satellite imagery.,2011,08,Snow
Precip,QC2,EF1,Nagpur,"Maharashtra, India",09/08/2005 13:40 UTC,Local Weather Service,Strong winds caused structural damage.,2005,08,Precip
Avalanche,QC1,EF1,Zurich,Switzerland,13/11/2019 12:24 UTC,Local Weather Service,"Short-lived event, limited damage reported.",2019,11,Avalanche
Devil,QC2,EF1,Munich,"Bavaria, Germany",15/05/2010 23:20 UTC,ESWD Management,Damage to vegetation and light structures.,2010,05,Devil
Snow,QC1,F-Scale: IF1,Nagpur,"Maharashtra, India",20/03/2008 23:30 UTC,Public Report,Severe weather phenomenon confirmed by eyewitnesses.,2008,03,Snow
Lightning,QC0+,F-Scale: IF1,Nagpur,"Maharashtra, India",31/12/2014 15:35 UTC,Public Report,Weak event reported with minor impacts.,2014,12,Lightning
Devil,QC0+,F-Scale: IF2,Nagpur,"Maharashtra, India",18/11/2000 16:25 UTC,Meteorological Office,Event observed via satellite imagery.,2000,11,Devil
Precip,QC0+,EF0,Nagpur,"Maharashtra, India",06/04/2002 06:10 UTC,Meteorological Office,Weak event reported with minor impacts.,2002,04,Precip
Gustnado,QC1,F-Scale: IF0,Tel Aviv,"Tel Aviv District, Israel",23/02/2013 16:14 UTC,University Research Group,"Short-lived event, limited damage reported.",2013,02,Gustnado
Lightning,QC0+,F-Scale: IF0,Vienna,Austria,24/07/2008 15:39 UTC,Local Weather Service,Event observed via satellite imagery.,2008,07,Lightning
Snow,QC2,F-Scale: IF0,Rota,"Andalucía, Spain",17/07/2014 02:28 UTC,Local Weather Service,Event observed via satellite imagery.,2014,07,Snow
Gustnado,QC2,EF2,Vienna,Austria,19/04/2004 00:58 UTC,ESWD Management,Damage to vegetation and light structures.,2004,04,Gustnado
Snow,QC0,N/A,Vienna,Austria,20/12/2023 17:01 UTC,Public Report,Damage to vegetation and light structures.,2023,12,Snow
Precip,QC0+,EF2,Rota,"Andalucía, Spain",06/04/2012 05:11 UTC,University Research Group,Strong winds caused structural damage.,2012,04,Precip
Ice,QC0,F-Scale: IF0,Vienna,Austria,22/08/2017 10:25 UTC,Public Report,"Short-lived event, limited damage reported.",2017,08,Ice
Gustnado,QC0+,F-Scale: IF2,Vienna,Austria,12/09/2016 02:59 UTC,Local Weather Service,"Short-lived event, limited damage reported.",2016,09,Gustnado
Avalanche,QC0,N/A,Paris,"Île-de-France, France",09/03/2023 02:34 UTC,Local Weather Service,Strong winds caused structural damage.,2023,03,Avalanche
Snow,QC1,EF1,Rota,"Andalucía, Spain",01/09/2015 07:37 UTC,Meteorological Office,Weak event reported with minor impacts.,2015,09,Snow
Tornado,QC2,N/A,Paris,"Île-de-France, France",08/12/2004 11:22 UTC,Meteorological Office,Damage to vegetation and light structures.,2004,12,Tornado
Wind,QC0+,F-Scale: IF1,Genova,"Liguria, Italy",06/08/2017 14:45 UTC,Public Report,Strong winds caused structural damage.,2017,08,Wind
Precip,QC0+,F-Scale: IF0,Tel Aviv,"Tel Aviv District, Israel",15/06/2012 13:58 UTC,Storm Chaser Network,Weak event reported with minor impacts.,2012,06,Precip
Hail,QC1,EF2,Tel Aviv,"Tel Aviv District, Israel",04/05/2003 22:54 UTC,Storm Chaser Network,Event observed via satellite imagery.,2003,05,Hail
Snow,QC2,EF0,Tel Aviv,"Tel Aviv District, Israel",31/05/2000 00:01 UTC,ESWD Management,Damage to vegetation and light structures.,2000,05,Snow
Avalanche,QC1,EF1,Munich,"Bavaria, Germany",25/11/2006 01:52 UTC,Public Report,Strong winds caused structural damage.,2006,11,Avalanche
Hail,QC2,EF1,Madrid,Spain,30/01/2016 22:47 UTC,Storm Chaser Network,Severe weather phenomenon confirmed by eyewitnesses.,2016,01,Hail
Funnel,QC0+,EF2,Munich,"Bavaria, Germany",07/07/2008 23:24 UTC,Storm Chaser Network,Weak event reported with minor impacts.,2008,07,Funnel
Lightning,QC0,F-Scale: IF0,Rota,"Andalucía, Spain",13/09/2001 03:43 UTC,Meteorological Office,Severe weather phenomenon confirmed by eyewitnesses.,2001,09,Lightning
Funnel,QC0+,EF0,Rota,"Andalucía, Spain",17/09/2009 20:28 UTC,Public Report,"Short-lived event, limited damage reported.",2009,09,Funnel
Lightning,QC0+,F-Scale: IF0,Madrid,Spain,27/05/2004 18:21 UTC,Meteorological Office,Severe weather phenomenon confirmed by eyewitnesses.,2004,05,Lightning
Precip,QC0,EF0,Genova,"Liguria, Italy",23/04/2017 08:17 UTC,Public Report,Severe weather phenomenon confirmed by eyewitnesses.,2017,04,Precip
Lightning,QC1,EF0,Vienna,Austria,22/12/2003 18:00 UTC,Public Report,Weak event reported with minor impacts.,2003,12,Lightning
Snow,QC2,N/A,Rota,"Andalucía, Spain",15/02/2017 11:24 UTC,Public Report,"Short-lived event, limited damage reported.",2017,02,Snow
Gustnado,QC0,F-Scale: IF0,Zurich,Switzerland,20/06/2021 06:00 UTC,Storm Chaser Network,Event observed via satellite imagery.,2021,06,Gustnado
Wind,QC0,EF2,Tel Aviv,"Tel Aviv District, Israel",30/01/2000 21:47 UTC,University Research Group,Damage to vegetation and light structures.,2000,01,Wind
Wind,QC0+,F-Scale: IF2,Tel Aviv,"Tel Aviv District, Israel",30/08/2008 15:38 UTC,Storm Chaser Network,Damage to vegetation and light structures.,2008,08,Wind
Avalanche,QC0,EF1,Paris,"Île-de-France, France",19/02/2023 07:37 UTC,Local Weather Service,Weak event reported with minor impacts.,2023,02,Avalanche
Hail,QC1,F-Scale: IF0,Rome,"Lazio, Italy",22/11/2019 17:45 UTC,University Research Group,Damage to vegetation and light structures.,2019,11,Hail
Snow,QC2,EF0,Munich,"Bavaria, Germany",10/08/2024 06:58 UTC,ESWD Management,Damage to vegetation and light structures.,2024,08,Snow
Hail,QC0,EF0,Paris,"Île-de-France, France",26/10/2011 19:15 UTC,Storm Chaser Network,"Short-lived event, limited damage reported.",2011,10,Hail
Lightning,QC0,N/A,Zurich,Switzerland,28/02/2020 12:43 UTC,Public Report,Damage to vegetation and light structures.,2020,02,Lightning
Wind,QC1,F-Scale: IF2,Genova,"Liguria, Italy",08/10/2003 14:30 UTC,Storm Chaser Network,Weak event reported with minor impacts.,2003,10,Wind
Snow,QC0+,F-Scale: IF2,Rome,"Lazio, Italy",23/05/2016 13:43 UTC,Local Weather Service,Weak event reported with minor impacts.,2016,05,Snow
Lightning,QC0+,F-Scale: IF0,Rota,"Andalucía, Spain",08/09/2019 07:09 UTC,University Research Group,Weak event reported with minor impacts.,2019,09,Lightning
Gustnado,QC2,F-Scale: IF2,Vienna,Austria,28/09/2023 11:48 UTC,Local Weather Service,Event observed via satellite imagery.,2023,09,Gustnado
Wind,QC0,EF2,Paris,"Île-de-France, France",16/08/2021 08:15 UTC,Local Weather Service,Weak event reported with minor impacts.,2021,08,Wind
Hail,QC0,EF1,Paris,"Île-de-France, France",29/12/2024 16:25 UTC,Local Weather Service,Severe weather phenomenon confirmed by eyewitnesses.,2024,12,Hail
Funnel,QC2,EF2,Vienna,Austria,13/09/2012 18:41 UTC,Local Weather Service,Weak event reported with minor impacts.,2012,09,Funnel
Funnel,QC0,F-Scale: IF1,Tel Aviv,"Tel Aviv District, Israel",12/10/2011 22:41 UTC,Meteorological Office,Damage to vegetation and light structures.,2011,10,Funnel
Snow,QC0,F-Scale: IF2,Vienna,Austria,24/01/2001 22:27 UTC,Meteorological Office,"Short-lived event, limited damage reported.",2001,01,Snow
Avalanche,QC0+,EF1,Madrid,Spain,20/08/2001 22:43 UTC,Storm Chaser Network,Severe weather phenomenon confirmed by eyewitnesses.,2001,08,Avalanche
Precip,QC2,F-Scale: IF1,Paris,"Île-de-France, France",17/08/2010 17:45 UTC,Meteorological Office,Severe weather phenomenon confirmed by eyewitnesses.,2010,08,Precip
Funnel,QC0+,N/A,Zurich,Switzerland,16/08/2009 00:27 UTC,Meteorological Office,Event observed via satellite imagery.,2009,08,Funnel
Lightning,QC0,EF1,Nagpur,"Maharashtra, India",31/08/2002 00:56 UTC,ESWD Management,Damage to vegetation and light structures.,2002,08,Lightning
Devil,QC1,EF1,Vienna,Austria,22/01/2007 20:59 UTC,Local Weather Service,Weak event reported with minor impacts.,2007,01,Devil
Wind,QC2,F-Scale: IF2,Munich,"Bavaria, Germany",08/10/2004 14:56 UTC,Meteorological Office,Severe weather phenomenon confirmed by eyewitnesses.,2004,10,Wind
Hail,QC2,EF2,Tel Aviv,"Tel Aviv District, Israel",19/12/2022 21:08 UTC,Local Weather Service,Damage to vegetation and light structures.,2022,12,Hail
Funnel,QC0+,F-Scale: IF2,Madrid,Spain,08/12/2016 05:21 UTC,Local Weather Service,Severe weather phenomenon confirmed by eyewitnesses.,2016,12,Funnel
Snow,QC0+,F-Scale: IF1,Zurich,Switzerland,01/07/2002 00:08 UTC,Local Weather Service,Weak event reported with minor impacts.,2002,07,Snow
Gustnado,QC1,EF0,Nagpur,"Maharashtra, India",14/11/2012 01:19 UTC,University Research Group,Severe weather phenomenon confirmed by eyewitnesses.,2012,11,Gustnado
Wind,QC0,EF2,Genova,"Liguria, Italy",10/04/2008 12:16 UTC,Meteorological Office,"Short-lived event, limited damage reported.",2008,04,Wind
Tornado,QC0+,N/A,Rota,"Andalucía, Spain",09/10/2011 03:29 UTC,Public Report,Weak event reported with minor impacts.,2011,10,Tornado
Snow,QC2,F-Scale: IF0,Genova,"Liguria, Italy",08/07/2018 13:44 UTC,University Research Group,"Short-lived event, limited damage reported.",2018,07,Snow
Funnel,QC0+,EF0,Tel Aviv,"Tel Aviv District, Israel",03/10/2009 19:46 UTC,Public Report,"Short-lived event, limited damage reported.",2009,10,Funnel
Ice,QC0,EF1,Munich,"Bavaria, Germany",18/10/2021 21:40 UTC,Public Report,Severe weather phenomenon confirmed by eyewitnesses.,2021,10,Ice
Devil,QC0+,EF0,Zurich,Switzerland,20/09/2003 11:08 UTC,Storm Chaser Network,"Short-lived event, limited damage reported.",2003,09,Devil
Snow,QC1,F-Scale: IF1,Madrid,Spain,22/08/2012 10:20 UTC,ESWD Management,Event observed via satellite imagery.,2012,08,Snow
Gustnado,QC1,EF1,Munich,"Bavaria, Germany",28/11/2024 05:05 UTC,Public Report,Severe weather phenomenon confirmed by eyewitnesses.,2024,11,Gustnado
Devil,QC0+,EF0,Genova,"Liguria, Italy",16/12/2010 15:45 UTC,ESWD Management,Damage to vegetation and light structures.,2010,12,Devil
Snow,QC0,EF1,Rota,"Andalucía, Spain",25/02/2010 02:30 UTC,ESWD Management,Strong winds caused structural damage.,2010,02,Snow
Gustnado,QC0,F-Scale: IF2,Zurich,Switzerland,27/01/2017 21:32 UTC,ESWD Management,"Short-lived event, limited damage reported.",2017,01,Gustnado
Devil,QC2,F-Scale: IF0,Rome,"Lazio, Italy",03/05/2018 00:13 UTC,ESWD Management,Damage to vegetation and light structures.,2018,05,Devil
Wind,QC0,N/A,Genova,"Liguria, Italy",28/06/2022 19:22 UTC,ESWD Management,"Short-lived event, limited damage reported.",2022,06,Wind
Tornado,QC0+,F-Scale: IF2,Tel Aviv,"Tel Aviv District, Israel",22/02/2014 12:54 UTC,University Research Group,Severe weather phenomenon confirmed by eyewitnesses.,2014,02,Tornado
Hail,QC0+,F-Scale: IF2,Madrid,Spain,08/10/2024 22:50 UTC,ESWD Management,Weak event reported with minor impacts.,2024,10,Hail
Devil,QC0,F-Scale: IF1,Munich,"Bavaria, Germany",10/07/2003 09:35 UTC,ESWD Management,"Short-lived event, limited damage reported.",2003,07,Devil
Funnel,QC0,F-Scale: IF2,Genova,"Liguria, Italy",23/03/2025 21:37 UTC,ESWD Management,Damage to vegetation and light structures.,2025,03,Funnel
Funnel,QC0,EF0,Nagpur,"Maharashtra, India",09/01/2007 10:44 UTC,Public Report,Strong winds caused structural damage.,2007,01,Funnel
Avalanche,QC0,EF1,Munich,"Bavaria, Germany",26/12/2013 15:22 UTC,Meteorological Office,Severe weather phenomenon confirmed by eyewitnesses.,2013,12,Avalanche
Avalanche,QC2,EF0,Rome,"Lazio, Italy",30/04/2012 01:37 UTC,ESWD Management,Damage to vegetation and light structures.,2012,04,Avalanche
Precip,QC0+,F-Scale: IF0,Madrid,Spain,30/07/2020 17:58 UTC,ESWD Management,Event observed via satellite imagery.,2020,07,Precip
Funnel,QC1,F-Scale: IF2,Munich,"Bavaria, Germany",12/11/2015 13:18 UTC,Storm Chaser Network,Event observed via satellite imagery.,2015,11,Funnel
Gustnado,QC2,EF1,Paris,"Île-de-France, France",19/09/2014 22:34 UTC,Meteorological Office,Weak event reported with minor impacts.,2014,09,Gustnado
Wind,QC0+,N/A,Munich,"Bavaria, Germany",23/03/2001 07:35 UTC,Storm Chaser Network,Damage to vegetation and light structures.,2001,03,Wind
Ice,QC0,EF1,Rome,"Lazio, Italy",24/07/2023 15:21 UTC,Local Weather Service,Event observed via satellite imagery.,2023,07,Ice
Tornado,QC1,F-Scale: IF0,Genova,"Liguria, Italy",05/04/2010 13:25 UTC,Local Weather Service,Strong winds caused structural damage.,2010,04,Tornado
Hail,QC2,F-Scale: IF0,Munich,"Bavaria, Germany",06/03/2003 00:08 UTC,Local Weather Service,Event observed via satellite imagery.,2003,03,Hail
Hail,QC0,EF2,Paris,"Île-de-France, France",23/09/2015 07:58 UTC,University Research Group,"Short-lived event, limited damage reported.",2015,09,Hail
Avalanche,QC0+,F-Scale: IF0,Vienna,Austria,06/12/2021 13:32 UTC,University Research Group,Weak event reported with minor impacts.,2021,12,Avalanche
Funnel,QC2,EF2,Rota,"Andalucía, Spain",12/12/2023 20:34 UTC,Meteorological Office,Damage to vegetation and light structures.,2023,12,Funnel
Hail,QC0+,EF0,Genova,"Liguria, Italy",08/06/2007 10:59 UTC,ESWD Management,Severe weather phenomenon confirmed by eyewitnesses.,2007,06,Hail
Ice,QC2,F-Scale: IF2,Rota,"Andalucía, Spain",03/10/2002 09:35 UTC,Public Report,Severe weather phenomenon confirmed by eyewitnesses.,2002,10,Ice
Wind,QC2,N/A,Rome,"Lazio, Italy",21/06/2013 19:09 UTC,University Research Group,Strong winds caused structural damage.,2013,06,Wind
Tornado,QC1,EF1,Madrid,Spain,08/03/2012 17:21 UTC,ESWD Management,Severe weather phenomenon confirmed by eyewitnesses.,2012,03,Tornado
Avalanche,QC0,F-Scale: IF0,Nagpur,"Maharashtra, India",07/03/2018 03:38 UTC,Storm Chaser Network,Severe weather phenomenon confirmed by eyewitnesses.,2018,03,Avalanche
Avalanche,QC0+,EF2,Genova,"Liguria, Italy",09/12/2019 16:35 UTC,Storm Chaser Network,Damage to vegetation and light structures.,2019,12,Avalanche
Tornado,QC0,EF0,Munich,"Bavaria, Germany",06/11/2008 06:53 UTC,Public Report,Weak event reported with minor impacts.,2008,11,Tornado
Funnel,QC2,N/A,Genova,"Liguria, Italy",04/11/2019 03:38 UTC,ESWD Management,Weak event reported with minor impacts.,2019,11,Funnel
Ice,QC0,F-Scale: IF2,Rome,"Lazio, Italy",22/01/2001 05:48 UTC,Meteorological Office,Damage to vegetation and light structures.,2001,01,Ice
Funnel,QC2,EF0,Vienna,Austria,28/12/2014 20:12 UTC,Meteorological Office,Event observed via satellite imagery.,2014,12,Funnel
Devil,QC2,EF2,Nagpur,"Maharashtra, India",13/04/2023 10:20 UTC,Meteorological Office,Damage to vegetation and light structures.,2023,04,Devil
Gustnado,QC2,N/A,Nagpur,"Maharashtra, India",16/06/2025 03:43 UTC,University Research Group,Weak event reported with minor impacts.,2025,06,Gustnado
Devil,QC0,N/A,Nagpur,"Maharashtra, India",27/02/2016 08:19 UTC,ESWD Management,Damage to vegetation and light structures.,2016,02,Devil
Tornado,QC2,F-Scale: IF2,Rome,"Lazio, Italy",29/01/2008 13:07 UTC,Local Weather Service,Strong winds caused structural damage.,2008,01,Tornado
Hail,QC2,F-Scale: IF1,Genova,"Liguria, Italy",04/06/2021 22:06 UTC,ESWD Management,Severe weather phenomenon confirmed by eyewitnesses.,2021,06,Hail
Devil,QC0+,F-Scale: IF2,Rome,"Lazio, Italy",11/08/2013 14:35 UTC,Public Report,Severe weather phenomenon confirmed by eyewitnesses.,2013,08,Devil
Gustnado,QC2,N/A,Nagpur,"Maharashtra, India",15/02/2025 11:54 UTC,Meteorological Office,Strong winds caused structural damage.,2025,02,Gustnado
Devil,QC2,EF1,Rome,"Lazio, Italy",18/11/2006 16:21 UTC,Storm Chaser Network,Strong winds caused structural damage.,2006,11,Devil
Funnel,QC1,EF1,Munich,"Bavaria, Germany",05/07/2003 08:14 UTC,Local Weather Service,Weak event reported with minor impacts.,2003,07,Funnel
Wind,QC0,EF0,Rome,"Lazio, Italy",08/07/2017 15:01 UTC,ESWD Management,Damage to vegetation and light structures.,2017,07,Wind
Snow,QC0+,N/A,Madrid,Spain,17/07/2004 16:18 UTC,Meteorological Office,Severe weather phenomenon confirmed by eyewitnesses.,2004,07,Snow
Tornado,QC2,F-Scale: IF1,Tel Aviv,"Tel Aviv District, Israel",24/04/2005 04:08 UTC,Meteorological Office,Weak event reported with minor impacts.,2005,04,Tornado
Hail,QC0+,F-Scale: IF2,Rome,"Lazio, Italy",30/12/2024 20:54 UTC,Meteorological Office,Severe weather phenomenon confirmed by eyewitnesses.,2024,12,Hail
Ice,QC2,F-Scale: IF0,Zurich,Switzerland,11/05/2009 20:13 UTC,ESWD Management,Damage to vegetation and light structures.,2009,05,Ice
Precip,QC0,N/A,Vienna,Austria,05/03/2016 16:35 UTC,Local Weather Service,"Short-lived event, limited damage reported.",2016,03,Precip
Devil,QC0,EF2,Munich,"Bavaria, Germany",07/12/2005 16:13 UTC,Public Report,Severe weather phenomenon confirmed by eyewitnesses.,2005,12,Devil
Hail,QC1,F-Scale: IF1,Rome,"Lazio, Italy",08/10/2006 12:21 UTC,Public Report,Strong winds caused structural damage.,2006,10,Hail
Avalanche,QC0+,EF0,Vienna,Austria,25/01/2001 21:12 UTC,ESWD Management,Weak event reported with minor impacts.,2001,01,Avalanche
Avalanche,QC0,F-Scale: IF0,Genova,"Liguria, Italy",25/12/2004 22:46 UTC,Meteorological Office,Severe weather phenomenon confirmed by eyewitnesses.,2004,12,Avalanche
Funnel,QC2,F-Scale: IF1,Zurich,Switzerland,27/02/2003 19:58 UTC,Public Report,Damage to vegetation and light structures.,2003,02,Funnel
Ice,QC0+,F-Scale: IF0,Rome,"Lazio, Italy",25/01/2023 02:47 UTC,Local Weather Service,Weak event reported with minor impacts.,2023,01,Ice
Avalanche,QC0+,EF1,Madrid,Spain,19/12/2022 04:46 UTC,Meteorological Office,Strong winds caused structural damage.,2022,12,Avalanche
Hail,QC2,EF0,Rome,"Lazio, Italy",19/04/2002 23:13 UTC,Local Weather Service,Event observed via satellite imagery.,2002,04,Hail
Precip,QC1,EF2,Nagpur,"Maharashtra, India",20/04/2003 02:05 UTC,Meteorological Office,"Short-lived event, limited damage reported.",2003,04,Precip
Funnel,QC0+,EF2,Paris,"Île-de-France, France",29/11/2020 21:26 UTC,Storm Chaser Network,Damage to vegetation and light structures.,2020,11,Funnel
Snow,QC0+,F-Scale: IF1,Zurich,Switzerland,24/02/2003 20:40 UTC,ESWD Management,"Short-lived event, limited damage reported.",2003,02,Snow
Lightning,QC2,F-Scale: IF1,Tel Aviv,"Tel Aviv District, Israel",07/04/2006 00:42 UTC,ESWD Management,"Short-lived event, limited damage reported.",2006,04,Lightning
Hail,QC2,F-Scale: IF0,Munich,"Bavaria, Germany",14/06/2005 16:24 UTC,University Research Group,Strong winds caused structural damage.,2005,06,Hail
Precip,QC0+,EF0,Nagpur,"Maharashtra, India",21/04/2001 05:18 UTC,Meteorological Office,Weak event reported with minor impacts.,2001,04,Precip
Precip,QC0+,F-Scale: IF2,Zurich,Switzerland,16/09/2010 14:27 UTC,University Research Group,"Short-lived event, limited damage reported.",2010,09,Precip
Tornado,QC2,F-Scale: IF2,Genova,"Liguria, Italy",25/07/2018 15:47 UTC,ESWD Management,Event observed via satellite imagery.,2018,07,Tornado
Gustnado,QC0,EF2,Nagpur,"Maharashtra, India",25/11/2025 22:44 UTC,Public Report,Strong winds caused structural damage.,2025,11,Gustnado
Devil,QC0+,EF2,Tel Aviv,"Tel Aviv District, Israel",26/05/2015 04:46 UTC,Storm Chaser Network,Severe weather phenomenon confirmed by eyewitnesses.,2015,05,Devil
Funnel,QC0+,EF0,Tel Aviv,"Tel Aviv District, Israel",25/01/2017 20:33 UTC,Public Report,Damage to vegetation and light structures.,2017,01,Funnel
Tornado,QC0+,F-Scale: IF1,Rome,"Lazio, Italy",18/06/2025 10:57 UTC,Meteorological Office,Event observed via satellite imagery.,2025,06,Tornado
Tornado,QC1,EF2,Zurich,Switzerland,16/07/2011 08:48 UTC,Public Report,Damage to vegetation and light structures.,2011,07,Tornado
Devil,QC0,N/A,Zurich,Switzerland,26/04/2024 14:50 UTC,ESWD Management,Weak event reported with minor impacts.,2024,04,Devil
Ice,QC2,F-Scale: IF2,Nagpur,"Maharashtra, India",26/11/2009 01:34 UTC,ESWD Management,"Short-lived event, limited damage reported.",2009,11,Ice
Lightning,QC2,EF0,Rota,"Andalucía, Spain",17/05/2014 19:10 UTC,ESWD Management,Damage to vegetation and light structures.,2014,05,Lightning
Snow,QC2,EF2,Vienna,Austria,03/07/2002 21:51 UTC,Local Weather Service,Severe weather phenomenon confirmed by eyewitnesses.,2002,07,Snow
Lightning,QC1,EF1,Paris,"Île-de-France, France",04/05/2002 05:51 UTC,ESWD Management,Strong winds caused structural damage.,2002,05,Lightning
Gustnado,QC0+,EF0,Rota,"Andalucía, Spain",14/12/2011 13:19 UTC,Local Weather Service,Weak event reported with minor impacts.,2011,12,Gustnado
Hail,QC0,F-Scale: IF1,Tel Aviv,"Tel Aviv District, Israel",19/10/2017 13:29 UTC,Local Weather Service,Event observed via satellite imagery.,2017,10,Hail
Snow,QC0,F-Scale: IF1,Madrid,Spain,27/04/2013 02:28 UTC,Public Report,Damage to vegetation and light structures.,2013,04,Snow
Snow,QC2,N/A,Rome,"Lazio, Italy",20/06/2025 16:42 UTC,Local Weather Service,Strong winds caused structural damage.,2025,06,Snow
Wind,QC1,EF0,Rome,"Lazio, Italy",09/10/2008 20:32 UTC,Public Report,Damage to vegetation and light structures.,2008,10,Wind
Snow,QC0+,F-Scale: IF2,Genova,"Liguria, Italy",24/04/2025 21:57 UTC,University Research Group,Severe weather phenomenon confirmed by eyewitnesses.,2025,04,Snow
Ice,QC2,EF2,Genova,"Liguria, Italy",19/04/2003 02:11 UTC,Local Weather Service,Severe weather phenomenon confirmed by eyewitnesses.,2003,04,Ice
Wind,QC2,F-Scale: IF1,Rota,"Andalucía, Spain",18/10/2009 18:00 UTC,Meteorological Office,Severe weather phenomenon confirmed by eyewitnesses.,2009,10,Wind
Precip,QC0,F-Scale: IF1,Paris,"Île-de-France, France",03/05/2019 03:33 UTC,Meteorological Office,"Short-lived event, limited damage reported.",2019,05,Precip
Ice,QC0,N/A,Tel Aviv,"Tel Aviv District, Israel",17/03/2009 07:05 UTC,ESWD Management,"Short-lived event, limited damage reported.",2009,03,Ice
Avalanche,QC0,EF2,Vienna,Austria,06/11/2017 08:30 UTC,Public Report,Strong winds caused structural damage.,2017,11,Avalanche
Gustnado,QC1,EF2,Rome,"Lazio, Italy",14/06/2007 21:26 UTC,Public Report,Event observed via satellite imagery.,2007,06,Gustnado
Lightning,QC0,F-Scale: IF0,Paris,"Île-de-France, France",04/01/2010 05:50 UTC,Storm Chaser Network,Strong winds caused structural damage.,2010,01,Lightning
Lightning,QC0+,EF2,Madrid,Spain,03/02/2009 02:50 UTC,Storm Chaser Network,Event observed via satellite imagery.,2009,02,Lightning
Hail,QC1,F-Scale: IF1,Vienna,Austria,13/01/2013 18:35 UTC,Local Weather Service,Weak event reported with minor impacts.,2013,01,Hail
Wind,QC2,N/A,Tel Aviv,"Tel Aviv District, Israel",17/04/2000 02:11 UTC,ESWD Management,"Short-lived event, limited damage reported.",2000,04,Wind
Ice,QC1,N/A,Tel Aviv,"Tel Aviv District, Israel",08/06/2024 16:02 UTC,University Research Group,Weak event reported with minor impacts.,2024,06,Ice
Hail,QC2,N/A,Tel Aviv,"Tel Aviv District, Israel",25/12/2021 20:55 UTC,Local Weather Service,Strong winds caused structural damage.,2021,12,Hail
Hail,QC1,F-Scale: IF2,Vienna,Austria,20/12/2002 05:21 UTC,Meteorological Office,Weak event reported with minor impacts.,2002,12,Hail
Precip,QC0,F-Scale: IF0,Rota,"Andalucía, Spain",27/10/2000 12:24 UTC,Public Report,Weak event reported with minor impacts.,2000,10,Precip
Tornado,QC0+,F-Scale: IF1,Munich,"Bavaria, Germany",14/02/2024 08:44 UTC,Storm Chaser Network,Event observed via satellite imagery.,2024,02,Tornado
Devil,QC2,F-Scale: IF0,Rota,"Andalucía, Spain",29/07/2000 07:09 UTC,Storm Chaser Network,Event observed via satellite imagery.,2000,07,Devil
Gustnado,QC0+,EF2,Nagpur,"Maharashtra, India",15/06/2014 01:18 UTC,University Research Group,"Short-lived event, limited damage reported.",2014,06,Gustnado
